iter	RMSE
0	14.59871775
1	14.23561045
2	13.86997406
3	13.52906228
4	13.19300867
5	12.89483536
6	12.58480078
7	12.31447841
8	12.02965631
9	11.75353948
10	11.47425901
11	11.23082085
12	11.01211676
13	10.76957465
14	10.52730648
15	10.29250739
16	10.07299479
17	9.89419599
18	9.699464031
19	9.517667883
20	9.337159443
21	9.149425126
22	8.986059001
23	8.836748262
24	8.68040822
25	8.52884767
26	8.39081748
27	8.258308833
28	8.134287132
29	8.013520078
30	7.913125667
31	7.807297554
32	7.6986976
33	7.594448138
34	7.493899311
35	7.394205605
36	7.306740367
37	7.220093948
38	7.137696709
39	7.065187691
40	6.991549681
41	6.91956869
42	6.850931838
43	6.787666646
44	6.723560556
45	6.664129139
46	6.610144728
47	6.548617701
48	6.496996862
49	6.444749783
50	6.398938802
51	6.346968681
52	6.30103316
53	6.265835408
54	6.219390115
55	6.181889884
56	6.137491548
57	6.095377343
58	6.056855406
59	6.020002299
60	5.987095594
61	5.954745404
62	5.92650471
63	5.896831448
64	5.867469483
65	5.840285529
66	5.815750354
67	5.790199662
68	5.765028832
69	5.745117574
70	5.724939878
71	5.702584384
72	5.681674991
73	5.661251943
74	5.643306372
75	5.62693372
76	5.613631633
77	5.598023729
78	5.583499707
79	5.567069847
80	5.551898889
81	5.535341261
82	5.518043429
83	5.501661982
84	5.493177076
85	5.479059889
86	5.467810084
87	5.455734158
88	5.446219904
89	5.433686416
90	5.419331457
91	5.409006103
92	5.399253782
93	5.388729837
94	5.380154582
95	5.366070705
96	5.355841995
97	5.34756261
98	5.337340167
99	5.323087868
100	5.316635325
101	5.309501412
102	5.29949259
103	5.287794043
104	5.278225417
105	5.269347829
106	5.259381138
107	5.248658952
108	5.240275762
109	5.231722601
110	5.223893849
111	5.216200647
112	5.210362196
113	5.20553071
114	5.200939328
115	5.194609145
116	5.187802805
117	5.183354032
118	5.179089306
119	5.173023042
120	5.170728142
121	5.164672701
122	5.157909629
123	5.152436284
124	5.148273046
125	5.141983652
126	5.137209585
127	5.132657224
128	5.125899432
129	5.120845512
130	5.115026341
131	5.110015216
132	5.103124324
133	5.096514773
134	5.089489956
135	5.085243664
136	5.079506961
137	5.072975837
138	5.068954449
139	5.06260988
140	5.055897761
141	5.052867458
142	5.045244816
143	5.039690038
144	5.036571755
145	5.032289706
146	5.02635908
147	5.021082828
148	5.01515344
149	5.012065607
150	5.005813441
151	5.003012911
152	5.000454057
153	4.99668261
154	4.991744048
155	4.985197445
156	4.980838627
157	4.977189566
158	4.974979047
159	4.968715618
160	4.964174684
161	4.958674495
162	4.954547476
163	4.951053334
164	4.945491339
165	4.941634515
166	4.936922978
167	4.934520708
168	4.930507073
169	4.925978369
170	4.917529737
171	4.914054026
172	4.908676455
173	4.903492132
174	4.900034964
175	4.896946314
176	4.892269716
177	4.884078616
178	4.880258957
179	4.878949804
180	4.8760141
181	4.869496315
182	4.866582027
183	4.861920479
184	4.859402039
185	4.854649632
186	4.852273816
187	4.847877032
188	4.843253213
189	4.83936483
190	4.832970497
191	4.829505774
192	4.826564884
193	4.825965282
194	4.822865271
195	4.819881951
196	4.815223036
197	4.809858165
198	4.805346798
199	4.80239482
200	4.796795364
201	4.794535449
202	4.78843499
203	4.785465157
204	4.78222641
205	4.775411075
206	4.773089653
207	4.770946096
208	4.769952828
209	4.766597621
210	4.764990158
211	4.758209193
212	4.754358808
213	4.750219157
214	4.746455913
215	4.742131134
216	4.736023258
217	4.731930782
218	4.728556158
219	4.725395812
220	4.721847012
221	4.71644517
222	4.712836669
223	4.710590003
224	4.70901907
225	4.704216421
226	4.703787676
227	4.701733771
228	4.699549707
229	4.697433942
230	4.695366794
231	4.69526877
232	4.694425415
233	4.692946847
234	4.689177177
235	4.688833208
236	4.688130368
237	4.687756311
238	4.683454411
239	4.681452194
240	4.678218197
241	4.674696872
242	4.671268395
243	4.67061961
244	4.669871076
245	4.663619873
246	4.660435825
247	4.658559071
248	4.654218272
249	4.650782676
250	4.64812961
251	4.645158424
252	4.640444601
253	4.640071624
254	4.637251789
255	4.636815863
256	4.631315795
257	4.62358654
258	4.620787865
259	4.617873002
260	4.614888024
261	4.612444033
262	4.604822666
263	4.602806148
264	4.598258714
265	4.595505678
266	4.59347521
267	4.587685204
268	4.586119987
269	4.579344237
270	4.57595598
271	4.575664575
272	4.573481241
273	4.571013489
274	4.56458963
275	4.556900531
276	4.554171742
277	4.548884722
278	4.544455366
279	4.543871068
280	4.539992547
281	4.534551064
282	4.528727357
283	4.52838277
284	4.525930976
285	4.518609386
286	4.515814082
287	4.51208777
288	4.508112481
289	4.505134154
290	4.502472896
291	4.500035016
292	4.494267583
293	4.491792987
294	4.487029266
295	4.485137928
296	4.481638741
297	4.476792717
298	4.472811613
299	4.46646605
300	4.465869657
301	4.463517344
302	4.460446587
303	4.456844305
304	4.454160727
305	4.451979211
306	4.448796782
307	4.447295089
308	4.44180036
309	4.441645663
310	4.438179172
311	4.437660364
312	4.432732924
313	4.42819287
314	4.427018554
315	4.422950613
316	4.416731831
317	4.413985154
318	4.411906061
319	4.407443774
320	4.405479904
321	4.404885347
322	4.401788034
323	4.399282388
324	4.394828778
325	4.38996594
326	4.38802041
327	4.383481238
328	4.381125045
329	4.376978859
330	4.376606455
331	4.374169625
332	4.369458708
333	4.368199478
334	4.361708479
335	4.358700076
336	4.35522341
337	4.348155524
338	4.342362541
339	4.340202996
340	4.336469286
341	4.332824052
342	4.331513417
343	4.326376187
344	4.325086414
345	4.32286309
346	4.31961371
347	4.31679454
348	4.310844788
349	4.309462983
350	4.308379587
351	4.304233034
352	4.302715626
353	4.301596964
354	4.298597719
355	4.295509872
356	4.294977846
357	4.291552099
358	4.28839434
359	4.286464167
360	4.281280854
361	4.279778399
362	4.27683941
363	4.271831606
364	4.269424081
365	4.267465736
366	4.264911111
367	4.264716606
368	4.262845631
369	4.259149994
370	4.256743901
371	4.254894142
372	4.252326066
373	4.248918703
374	4.244933206
375	4.241140619
376	4.237150094
377	4.235540079
378	4.232162561
379	4.230890965
380	4.228108416
381	4.227794679
382	4.22718751
383	4.224263537
384	4.220277246
385	4.218764407
386	4.218610984
387	4.215190372
388	4.21304232
389	4.207167407
390	4.205669745
391	4.202403116
392	4.196609643
393	4.192363609
394	4.189164953
395	4.185934855
396	4.182148659
397	4.179001519
398	4.176958607
399	4.174059122
400	4.17215979
401	4.170016848
402	4.163991356
403	4.161159118
404	4.156919653
405	4.153965136
406	4.150047115
407	4.149431439
408	4.145751492
409	4.143231308
410	4.140389305
411	4.138667509
412	4.134514513
413	4.129241762
414	4.123921017
415	4.11985198
416	4.116353294
417	4.114214045
418	4.108910333
419	4.10721725
420	4.106176455
421	4.102965946
422	4.099120783
423	4.096086249
424	4.091601552
425	4.091123229
426	4.089060072
427	4.084401058
428	4.080275596
429	4.073573187
430	4.071070931
431	4.070039065
432	4.067353524
433	4.062295519
434	4.058974406
435	4.058835336
436	4.055835882
437	4.053949098
438	4.053458637
439	4.049536565
440	4.045979313
441	4.04428746
442	4.041418269
443	4.038215626
444	4.035600936
445	4.031105857
446	4.027868346
447	4.025278413
448	4.02150095
449	4.018430619
450	4.014368598
451	4.012802896
452	4.00946791
453	4.007320153
454	4.005649963
455	4.004364708
456	4.004086673
457	4.001841163
458	4.000041925
459	3.999063225
460	3.995979516
461	3.994619983
462	3.990434274
463	3.988913351
464	3.986799073
465	3.984336154
466	3.982210507
467	3.979306826
468	3.977743466
469	3.977432948
470	3.973975739
471	3.973848336
472	3.973450382
473	3.968685736
474	3.966111686
475	3.963766279
476	3.961351077
477	3.960166616
478	3.958387092
479	3.95443469
480	3.952051525
481	3.950343824
482	3.947551843
483	3.944639676
484	3.944347381
485	3.941826697
486	3.940345875
487	3.939527768
488	3.938727986
489	3.937048307
490	3.934928674
491	3.93239127
492	3.929785861
493	3.926920352
494	3.925883466
495	3.92517312
496	3.925033014
497	3.921451748
498	3.919307926
499	3.916280769
500	3.915295851
501	3.91140418
502	3.908914757
503	3.905746665
504	3.903637967
505	3.902267886
506	3.897695794
507	3.897504994
508	3.892830288
509	3.888600468
510	3.886543175
511	3.885675324
512	3.88266856
513	3.87791709
514	3.876971776
515	3.876707853
516	3.874130015
517	3.872409564
518	3.868560483
519	3.867409292
520	3.864769723
521	3.863430667
522	3.862639347
523	3.860112551
524	3.858960119
525	3.8575339
526	3.856017284
527	3.853792637
528	3.853558578
529	3.853327039
530	3.851774405
531	3.84995167
532	3.847249
533	3.845649847
534	3.842049322
535	3.839472663
536	3.837158533
537	3.836378532
538	3.831726247
539	3.831580834
540	3.830963908
541	3.830014548
542	3.829838933
543	3.829606739
544	3.827571937
545	3.825212453
546	3.821159561
547	3.817458171
548	3.816728899
549	3.816283715
550	3.811628922
551	3.81052877
552	3.808267947
553	3.805747661
554	3.80438924
555	3.80254435
556	3.798077476
557	3.797042686
558	3.795773626
559	3.793749371
560	3.789362884
561	3.789107427
562	3.785868513
563	3.783211247
564	3.782970093
565	3.780742212
566	3.776919945
567	3.776560923
568	3.774752917
569	3.773378554
570	3.770599635
571	3.770387356
572	3.768647897
573	3.767770316
574	3.764866711
575	3.763062158
576	3.760935423
577	3.759818619
578	3.755874114
579	3.754127833
580	3.752077372
581	3.749592313
582	3.748643522
583	3.7478996
584	3.745107766
585	3.743119144
586	3.739402325
587	3.735228894
588	3.732352825
589	3.729214296
590	3.728301428
591	3.725431489
592	3.722348589
593	3.720610687
594	3.719372803
595	3.716153516
596	3.71405283
597	3.712417724
598	3.709776206
599	3.707921766
600	3.705734606
601	3.702144234
602	3.699609187
603	3.696302878
604	3.693872716
605	3.692508756
606	3.690461278
607	3.689132073
608	3.687598377
609	3.684432256
610	3.682750846
611	3.677827124
612	3.677104935
613	3.675104533
614	3.672142571
615	3.671763825
616	3.670527486
617	3.668063295
618	3.664816123
619	3.662355113
620	3.660156326
621	3.656884
622	3.655421472
623	3.652817204
624	3.649229161
625	3.645003855
626	3.642867208
627	3.642227741
628	3.641356178
629	3.640930411
630	3.63931551
631	3.638771865
632	3.638403844
633	3.636970097
634	3.635222453
635	3.633233052
636	3.629768673
637	3.626715071
638	3.623887357
639	3.621225584
640	3.618594317
641	3.618458925
642	3.616645397
643	3.616253924
644	3.612100343
645	3.609852487
646	3.608663238
647	3.608305078
648	3.606961664
649	3.606147544
650	3.602180107
651	3.601410271
652	3.598590838
653	3.59694154
654	3.594623188
655	3.594067357
656	3.593046198
657	3.59222732
658	3.590312087
659	3.587998627
660	3.583811687
661	3.581547338
662	3.579150336
663	3.577486084
664	3.575558357
665	3.573935553
666	3.571319195
667	3.567929333
668	3.567737782
669	3.566516652
670	3.566306276
671	3.563775386
672	3.562923228
673	3.561035087
674	3.559890874
675	3.558393295
676	3.557020782
677	3.556543291
678	3.555725039
679	3.55465866
680	3.551233815
681	3.550330739
682	3.548609399
683	3.54499125
684	3.54305092
685	3.54133636
686	3.539337767
687	3.539192048
688	3.537008514
689	3.534104868
690	3.532851885
691	3.531213869
692	3.529747603
693	3.528256276
694	3.52321719
695	3.522607349
696	3.521279452
697	3.51852836
698	3.516574912
699	3.515555634
700	3.515411326
701	3.512809521
702	3.510031605
703	3.509845372
704	3.506936186
705	3.504195345
706	3.5013377
707	3.49967586
708	3.497710433
709	3.496710645
710	3.495165038
711	3.494100096
712	3.493470389
713	3.491858525
714	3.491660482
715	3.489693908
716	3.489527051
717	3.487225513
718	3.48625254
719	3.486121729
720	3.484076919
721	3.483160117
722	3.481748653
723	3.479801041
724	3.477329136
725	3.477196973
726	3.474489605
727	3.471256927
728	3.468995163
729	3.467616404
730	3.464445781
731	3.464348922
732	3.463403794
733	3.459754313
734	3.458425044
735	3.457797658
736	3.453829283
737	3.450236229
738	3.449310408
739	3.449194266
740	3.44863475
741	3.447156625
742	3.445308377
743	3.444223172
744	3.443072796
745	3.442957773
746	3.441489205
747	3.44042244
748	3.436680451
749	3.435788628
750	3.434710284
751	3.431665608
752	3.429031376
753	3.427785552
754	3.425754669
755	3.423729969
756	3.420668838
757	3.418613651
758	3.417777551
759	3.416083315
760	3.414735924
761	3.412635567
762	3.41134548
763	3.409661611
764	3.407925594
765	3.406524351
766	3.403861599
767	3.400625362
768	3.399475567
769	3.397859504
770	3.396744663
771	3.395699286
772	3.393928971
773	3.392435778
774	3.390860648
775	3.390664544
776	3.390154197
777	3.387167004
778	3.385360743
779	3.384022983
780	3.382115219
781	3.380801469
782	3.378101748
783	3.374609005
784	3.372733316
785	3.370479009
786	3.369046351
787	3.367806709
788	3.365340737
789	3.361934163
790	3.360819062
791	3.360714403
792	3.357272904
793	3.356091754
794	3.3557912
795	3.354390295
796	3.35246779
797	3.351897845
798	3.350580046
799	3.349667585
800	3.347900587
801	3.346000639
802	3.344889959
803	3.344145204
804	3.343463604
805	3.34278874
806	3.340218528
807	3.338397462
808	3.335607024
809	3.331494702
810	3.329200599
811	3.327291532
812	3.3260181
813	3.325707767
814	3.322886809
815	3.321941398
816	3.320165807
817	3.319977257
818	3.317631474
819	3.316925765
820	3.314861385
821	3.313238452
822	3.31229706
823	3.309830626
824	3.307126004
825	3.305968084
826	3.304071306
827	3.303243038
828	3.302326509
829	3.300968999
830	3.29822834
831	3.294644069
832	3.293833612
833	3.292654478
834	3.290895702
835	3.290854899
836	3.288525166
837	3.285683885
838	3.282286854
839	3.280834166
840	3.278270978
