iter	Passed	Remaining
0	1	1932
1	3	1838
2	5	1752
3	7	1912
4	9	1879
5	11	1868
6	12	1843
7	14	1806
8	16	1800
9	18	1795
10	19	1781
11	22	1824
12	24	1871
13	26	1852
14	27	1837
15	29	1837
16	31	1826
17	33	1809
18	34	1794
19	36	1782
20	40	1899
21	42	1873
22	44	1871
23	45	1861
24	47	1848
25	49	1838
26	50	1830
27	54	1885
28	56	1892
29	58	1884
30	59	1871
31	61	1870
32	63	1866
33	65	1856
34	67	1871
35	70	1875
36	72	1878
37	74	1874
38	76	1890
39	78	1880
40	79	1871
41	81	1861
42	84	1886
43	86	1886
44	88	1879
45	90	1875
46	92	1878
47	94	1871
48	96	1864
49	99	1897
50	102	1903
51	104	1904
52	106	1900
53	107	1891
54	109	1884
55	112	1901
56	115	1910
57	118	1918
58	120	1925
59	122	1925
60	124	1923
61	126	1917
62	129	1921
63	132	1939
64	137	1984
65	141	1997
66	144	2006
67	145	1998
68	148	2003
69	150	1997
70	152	1993
71	153	1984
72	155	1978
73	158	1985
74	160	1981
75	162	1980
76	165	1979
77	167	1981
78	170	1983
79	172	1980
80	174	1982
81	177	1988
82	179	1988
83	181	1981
84	183	1976
85	185	1971
86	187	1964
87	190	1971
88	193	1981
89	195	1978
90	198	1982
91	200	1975
92	201	1968
93	204	1971
94	207	1972
95	209	1968
96	212	1974
97	213	1968
98	215	1962
99	217	1957
100	220	1965
101	225	1982
102	227	1977
103	229	1973
104	231	1970
105	232	1964
106	235	1966
107	237	1965
108	239	1959
109	241	1952
110	243	1946
111	244	1940
112	246	1933
113	248	1928
114	250	1928
115	252	1926
116	254	1919
117	256	1913
118	257	1907
119	259	1901
120	260	1895
121	262	1889
122	264	1889
123	266	1886
124	269	1883
125	271	1882
126	273	1880
127	275	1875
128	276	1869
129	278	1863
130	280	1861
131	282	1856
132	283	1851
133	285	1847
134	287	1841
135	289	1836
136	290	1830
137	292	1825
138	294	1822
139	296	1823
140	298	1818
141	299	1810
142	301	1804
143	301	1795
144	303	1790
145	305	1788
146	307	1784
147	310	1786
148	312	1783
149	313	1778
150	315	1773
151	317	1768
152	318	1763
153	320	1759
154	321	1754
155	323	1749
156	325	1747
157	327	1742
158	328	1738
159	330	1733
160	331	1729
